model,samples_before,samples_after,removed,remove_ratio,betti_q1,betti_q3,betti_iqr,betti_lower,betti_upper,mean_T_prec,mean_T_sens,mean_clDice,mean_Betti_Error
SegFormer-B2 (baseline),281,249,32,0.11387900355871886,1.0,203.0,202.0,0.0,506.0,0.743616526551843,0.8604575728513093,0.7482418773414783,75.48192771084338
SegFormer-B2 + Skeleton,281,254,27,0.09608540925266904,3.0,83.0,80.0,0.0,203.0,0.7491702835617992,0.8767247435662683,0.77594791040485,35.326771653543304
SegFormer-B2 + Skeleton + clDice-v2,281,239,42,0.1494661921708185,12.0,125.0,113.0,0.0,294.5,0.8888656302520248,0.9109102848332887,0.8824590859654227,47.89121338912134
DeepLabV3+ (R50),281,257,24,0.08540925266903915,1.0,106.0,105.0,0.0,263.5,0.8509017177979766,0.8260701609432262,0.8107828605077271,42.96498054474708
PSPNet (R50),281,254,27,0.09608540925266904,1.0,33.0,32.0,0.0,81.0,0.8679413156983743,0.8199587692718586,0.8154919272120708,13.909448818897637
UPerNet (R50),281,276,5,0.017793594306049824,1.0,66.0,65.0,0.0,163.5,0.7374463951703188,0.7752623677329957,0.7092250974665577,35.8731884057971
