model,samples,mean_T_prec,mean_T_sens,mean_clDice,mean_Betti_Error,mean_abs_dBeta0,mean_abs_dBeta1,ref_mean_clDice_table2,delta_clDice_vs_table2
SegFormer-B2 (baseline),281,0.694591327485,0.863691755398,0.710342394182,148.661921708185,79.181494661922,69.480427046263,0.710342394182,-0.000000000000
SegFormer-B2 + Skeleton,281,0.715317807772,0.874116048514,0.748872953901,66.900355871886,38.633451957295,28.266903914591,0.748872953901,0.000000000000
SegFormer-B2 + Skeleton + clDice-v2,281,0.856021129011,0.900876695454,0.854492910193,185.160142348754,41.957295373665,143.202846975089,0.854492910193,-0.000000000000
DeepLabV3+ (R50),281,0.832693303369,0.808576190027,0.790534010020,76.982206405694,44.807829181495,32.174377224199,0.790534010020,0.000000000000
PSPNet (R50),281,0.849674972117,0.807723948958,0.798598359312,24.199288256228,16.743772241993,7.455516014235,0.798598359312,0.000000000000
UPerNet (R50),281,0.730781227081,0.774187669723,0.703814158243,38.658362989324,30.256227758007,8.402135231317,0.703814158243,-0.000000000000
