nohup: ignoring input
[MODEL] SegFormer-B2 (baseline) (segformer_b2_baseline) total=281 done=104 todo=177
[PROGRESS] deeplabv3plus_r50: new=110, done_total=110/281
[PROGRESS] deeplabv3plus_r50: new=120, done_total=120/281
[PROGRESS] deeplabv3plus_r50: new=130, done_total=130/281
[PROGRESS] deeplabv3plus_r50: new=140, done_total=140/281
[PROGRESS] deeplabv3plus_r50: new=150, done_total=150/281
[PROGRESS] deeplabv3plus_r50: new=160, done_total=160/281
[PROGRESS] deeplabv3plus_r50: new=170, done_total=170/281
[PROGRESS] deeplabv3plus_r50: new=180, done_total=180/281
[PROGRESS] deeplabv3plus_r50: new=190, done_total=190/281
[PROGRESS] deeplabv3plus_r50: new=200, done_total=200/281
[PROGRESS] deeplabv3plus_r50: new=210, done_total=210/281
[PROGRESS] deeplabv3plus_r50: new=220, done_total=220/281
[PROGRESS] deeplabv3plus_r50: new=230, done_total=230/281
[PROGRESS] deeplabv3plus_r50: new=240, done_total=240/281
[PROGRESS] deeplabv3plus_r50: new=250, done_total=250/281
[PROGRESS] deeplabv3plus_r50: new=260, done_total=260/281
[PROGRESS] deeplabv3plus_r50: new=270, done_total=270/281
[PROGRESS] deeplabv3plus_r50: new=280, done_total=280/281
[MODEL_DONE] deeplabv3plus_r50: new=281, skipped_done=0, total_written=281
[MODEL] PSPNet (R50) (pspnet_r50) total=281 done=0 todo=281
[PROGRESS] pspnet_r50: new=10, done_total=10/281
[PROGRESS] pspnet_r50: new=20, done_total=20/281
[PROGRESS] pspnet_r50: new=30, done_total=30/281
[PROGRESS] pspnet_r50: new=40, done_total=40/281
[PROGRESS] pspnet_r50: new=50, done_total=50/281
[PROGRESS] pspnet_r50: new=60, done_total=60/281
[PROGRESS] pspnet_r50: new=70, done_total=70/281
[PROGRESS] pspnet_r50: new=80, done_total=80/281
[PROGRESS] pspnet_r50: new=90, done_total=90/281
[PROGRESS] pspnet_r50: new=100, done_total=100/281
[PROGRESS] pspnet_r50: new=110, done_total=110/281
[PROGRESS] pspnet_r50: new=120, done_total=120/281
[PROGRESS] pspnet_r50: new=130, done_total=130/281
[PROGRESS] pspnet_r50: new=140, done_total=140/281
[PROGRESS] pspnet_r50: new=150, done_total=150/281
[PROGRESS] pspnet_r50: new=160, done_total=160/281
[PROGRESS] pspnet_r50: new=170, done_total=170/281
[PROGRESS] pspnet_r50: new=180, done_total=180/281
[PROGRESS] pspnet_r50: new=190, done_total=190/281
[PROGRESS] pspnet_r50: new=200, done_total=200/281
[PROGRESS] pspnet_r50: new=210, done_total=210/281
[PROGRESS] pspnet_r50: new=220, done_total=220/281
[PROGRESS] pspnet_r50: new=230, done_total=230/281
[PROGRESS] pspnet_r50: new=240, done_total=240/281
[PROGRESS] pspnet_r50: new=250, done_total=250/281
[PROGRESS] pspnet_r50: new=260, done_total=260/281
[PROGRESS] pspnet_r50: new=270, done_total=270/281
[PROGRESS] pspnet_r50: new=280, done_total=280/281
[MODEL_DONE] pspnet_r50: new=281, skipped_done=0, total_written=281
[MODEL] UPerNet (R50) (upernet_r50) total=281 done=0 todo=281
[PROGRESS] upernet_r50: new=10, done_total=10/281
[PROGRESS] upernet_r50: new=20, done_total=20/281
[PROGRESS] upernet_r50: new=30, done_total=30/281
[PROGRESS] upernet_r50: new=40, done_total=40/281
[PROGRESS] upernet_r50: new=50, done_total=50/281
[PROGRESS] upernet_r50: new=60, done_total=60/281
[PROGRESS] upernet_r50: new=70, done_total=70/281
[PROGRESS] upernet_r50: new=80, done_total=80/281
[PROGRESS] upernet_r50: new=90, done_total=90/281
[PROGRESS] upernet_r50: new=100, done_total=100/281
[PROGRESS] upernet_r50: new=110, done_total=110/281
[PROGRESS] upernet_r50: new=120, done_total=120/281
[PROGRESS] upernet_r50: new=130, done_total=130/281
[PROGRESS] upernet_r50: new=140, done_total=140/281
[PROGRESS] upernet_r50: new=150, done_total=150/281
[PROGRESS] upernet_r50: new=160, done_total=160/281
[PROGRESS] upernet_r50: new=170, done_total=170/281
[PROGRESS] upernet_r50: new=180, done_total=180/281
[PROGRESS] upernet_r50: new=190, done_total=190/281
[PROGRESS] upernet_r50: new=200, done_total=200/281
[PROGRESS] upernet_r50: new=210, done_total=210/281
[PROGRESS] upernet_r50: new=220, done_total=220/281
[PROGRESS] upernet_r50: new=230, done_total=230/281
[PROGRESS] upernet_r50: new=240, done_total=240/281
[PROGRESS] upernet_r50: new=250, done_total=250/281
[PROGRESS] upernet_r50: new=260, done_total=260/281
[PROGRESS] upernet_r50: new=270, done_total=270/281
[PROGRESS] upernet_r50: new=280, done_total=280/281
[MODEL_DONE] upernet_r50: new=281, skipped_done=0, total_written=281
[OK] per-sample: docs/tables/topo_v2/topology_v2_per_sample.csv
[OK] summary   : docs/tables/topo_v2/topology_v2_summary.csv
[OK] markdown  : docs/tables/topo_v2/topology_v2_summary.md
