model,idx,part_id,pred_file,gt_file,T_prec,T_sens,clDice,CC_pred,CC_gt,Holes_pred,Holes_gt,abs_dBeta0,abs_dBeta1,Betti_Error
UPerNet (R50),156,Part04/0711,0156.png,data/TP-Dataset/GroundTruth/Part04/0711.png,0.753837719298,0.713353413655,0.733037023364,2,1,1,0,1,1,2
UPerNet (R50),157,Part03/0542,0157.png,data/TP-Dataset/GroundTruth/Part03/0542.png,0.969911504425,0.874704491726,0.919851016436,3,1,0,0,2,0,2
UPerNet (R50),158,Part08/1276,0158.png,data/TP-Dataset/GroundTruth/Part08/1276.png,0.812233285917,0.993311036789,0.893692032040,2,1,0,0,1,0,1
UPerNet (R50),159,Part03/0555,0159.png,data/TP-Dataset/GroundTruth/Part03/0555.png,0.948899371069,0.558939650310,0.703493509751,5,2,1,0,3,1,4
UPerNet (R50),160,Part03/0550,0160.png,data/TP-Dataset/GroundTruth/Part03/0550.png,0.796633459292,0.995381062356,0.884985974655,19,1,4,0,18,4,22
UPerNet (R50),161,Part03/0649,0161.png,data/TP-Dataset/GroundTruth/Part03/0649.png,0.724870466321,0.963804116395,0.827433712148,12,1,0,0,11,0,11
UPerNet (R50),162,Part07/0858,0162.png,data/TP-Dataset/GroundTruth/Part07/0858.png,1.000000000000,0.219917012448,0.360544217687,1,1,0,0,0,0,0
UPerNet (R50),163,Part03/0579,0163.png,data/TP-Dataset/GroundTruth/Part03/0579.png,0.795097423004,0.516168695438,0.625966604042,65,2,25,0,63,25,88
UPerNet (R50),164,Part07/0834,0164.png,data/TP-Dataset/GroundTruth/Part07/0834.png,0.964194373402,0.329331046312,0.490966991450,2,2,1,0,0,1,1
UPerNet (R50),165,Part02/0387,0165.png,data/TP-Dataset/GroundTruth/Part02/0387.png,0.698252688172,0.999620349279,0.822190565065,47,1,7,0,46,7,53
UPerNet (R50),166,Part03/0554,0166.png,data/TP-Dataset/GroundTruth/Part03/0554.png,0.000000000000,0.000000000000,0.000000000000,0,1,0,0,1,0,1
UPerNet (R50),167,Part08/0940,0167.png,data/TP-Dataset/GroundTruth/Part08/0940.png,1.000000000000,0.224438902743,0.366598778004,1,1,0,0,0,0,0
UPerNet (R50),168,Part08/1169,0168.png,data/TP-Dataset/GroundTruth/Part08/1169.png,0.000000000000,0.000000000000,0.000000000000,0,1,0,0,1,0,1
UPerNet (R50),169,Part08/0905,0169.png,data/TP-Dataset/GroundTruth/Part08/0905.png,0.836363636364,0.321961620469,0.464941932461,1,5,0,0,4,0,4
UPerNet (R50),170,Part02/0167,0170.png,data/TP-Dataset/GroundTruth/Part02/0167.png,0.195662714330,0.918480492813,0.322601951222,104,2,27,0,102,27,129
UPerNet (R50),171,Part08/1003,0171.png,data/TP-Dataset/GroundTruth/Part08/1003.png,0.998616874136,0.904450261780,0.949203815445,2,1,0,0,1,0,1
UPerNet (R50),172,Part02/0204,0172.png,data/TP-Dataset/GroundTruth/Part02/0204.png,0.394370719178,0.952729044834,0.557833129558,51,1,6,0,50,6,56
UPerNet (R50),173,Part09/1249,0173.png,data/TP-Dataset/GroundTruth/Part09/1249.png,0.796692607004,1.000000000000,0.886843530048,5,1,0,0,4,0,4
UPerNet (R50),174,Part02/0266,0174.png,data/TP-Dataset/GroundTruth/Part02/0266.png,0.422840265813,0.967863419533,0.588553305637,77,1,20,0,76,20,96
UPerNet (R50),175,Part02/0199,0175.png,data/TP-Dataset/GroundTruth/Part02/0199.png,0.489644392341,0.984492784837,0.654011551785,57,1,6,0,56,6,62
UPerNet (R50),176,Part08/1127,0176.png,data/TP-Dataset/GroundTruth/Part08/1127.png,0.950479233227,0.832061068702,0.887336758357,1,1,0,0,0,0,0
UPerNet (R50),177,Part08/0904,0177.png,data/TP-Dataset/GroundTruth/Part08/0904.png,1.000000000000,0.749514563107,0.856825749167,13,1,4,0,12,4,16
UPerNet (R50),178,Part08/1213,0178.png,data/TP-Dataset/GroundTruth/Part08/1213.png,1.000000000000,0.909509202454,0.952610441767,1,1,0,0,0,0,0
UPerNet (R50),179,Part03/0585,0179.png,data/TP-Dataset/GroundTruth/Part03/0585.png,0.857181498512,0.827187765506,0.841917581297,24,1,5,0,23,5,28
UPerNet (R50),180,Part02/0027,0180.png,data/TP-Dataset/GroundTruth/Part02/0027.png,0.894582723280,0.530917613124,0.666362135534,46,1,16,0,45,16,61
UPerNet (R50),181,Part04/0706,0181.png,data/TP-Dataset/GroundTruth/Part04/0706.png,0.453166458073,0.739989989990,0.562103391080,83,2,27,0,81,27,108
UPerNet (R50),182,Part02/0320,0182.png,data/TP-Dataset/GroundTruth/Part02/0320.png,0.205325649560,1.000000000000,0.340697386860,136,1,11,0,135,11,146
UPerNet (R50),183,Part08/0935,0183.png,data/TP-Dataset/GroundTruth/Part08/0935.png,0.561316051844,0.877777777778,0.684751399077,2,1,0,0,1,0,1
UPerNet (R50),184,Part08/1209,0184.png,data/TP-Dataset/GroundTruth/Part08/1209.png,0.837872892348,0.906779661017,0.870965506378,2,1,0,0,1,0,1
UPerNet (R50),185,Part02/0478,0185.png,data/TP-Dataset/GroundTruth/Part02/0478.png,0.587221770317,0.297876286748,0.395254376717,94,1,22,0,93,22,115
UPerNet (R50),186,Part02/0288,0186.png,data/TP-Dataset/GroundTruth/Part02/0288.png,0.568314803979,1.000000000000,0.724745825949,47,1,1,0,46,1,47
UPerNet (R50),187,Part08/0964,0187.png,data/TP-Dataset/GroundTruth/Part08/0964.png,0.902777777778,0.903037383178,0.902907561817,4,2,0,0,2,0,2
UPerNet (R50),188,Part02/0082,0188.png,data/TP-Dataset/GroundTruth/Part02/0082.png,0.556632810095,0.662212062599,0.604849672901,106,1,43,0,105,43,148
UPerNet (R50),189,Part07/0759,0189.png,data/TP-Dataset/GroundTruth/Part07/0759.png,0.997512437811,0.674958540630,0.805131506572,2,2,0,0,0,0,0
UPerNet (R50),190,Part08/1252,0190.png,data/TP-Dataset/GroundTruth/Part08/1252.png,0.505906879778,0.759063022867,0.607153110363,6,1,0,0,5,0,5
UPerNet (R50),191,Part02/0134,0191.png,data/TP-Dataset/GroundTruth/Part02/0134.png,0.476014760148,0.991797676008,0.643284279695,27,3,8,0,24,8,32
UPerNet (R50),192,Part07/0836,0192.png,data/TP-Dataset/GroundTruth/Part07/0836.png,0.994152046784,0.724637681159,0.838264299802,1,3,0,0,2,0,2
UPerNet (R50),193,Part02/0317,0193.png,data/TP-Dataset/GroundTruth/Part02/0317.png,0.450072760030,0.994915917090,0.619775863843,91,1,19,0,90,19,109
UPerNet (R50),194,Part03/0549,0194.png,data/TP-Dataset/GroundTruth/Part03/0549.png,0.983838383838,0.927320490368,0.954743747217,1,1,0,0,0,0,0
UPerNet (R50),195,Part08/0977,0195.png,data/TP-Dataset/GroundTruth/Part08/0977.png,0.808933002481,0.929396662388,0.864990856217,2,2,0,0,0,0,0
UPerNet (R50),196,Part08/0995,0196.png,data/TP-Dataset/GroundTruth/Part08/0995.png,0.993103448276,0.937062937063,0.964269651691,1,1,0,0,0,0,0
UPerNet (R50),197,Part02/0517,0197.png,data/TP-Dataset/GroundTruth/Part02/0517.png,0.376404494382,0.689701897019,0.487018736433,22,2,0,4,20,4,24
UPerNet (R50),198,Part02/0527,0198.png,data/TP-Dataset/GroundTruth/Part02/0527.png,0.797153024911,0.867891513561,0.831019626615,8,1,0,0,7,0,7
UPerNet (R50),199,Part08/0906,0199.png,data/TP-Dataset/GroundTruth/Part08/0906.png,0.898959236774,0.952113891286,0.924773380432,4,1,0,0,3,0,3
UPerNet (R50),200,Part07/0844,0200.png,data/TP-Dataset/GroundTruth/Part07/0844.png,0.990654205607,0.928735632184,0.958696187512,1,1,0,0,0,0,0
UPerNet (R50),201,Part07/0773,0201.png,data/TP-Dataset/GroundTruth/Part07/0773.png,0.994366197183,0.753488372093,0.857329185562,1,1,0,0,0,0,0
UPerNet (R50),202,Part03/0610,0202.png,data/TP-Dataset/GroundTruth/Part03/0610.png,0.871973622233,0.798792756539,0.833780499993,21,1,6,0,20,6,26
UPerNet (R50),203,Part03/0688,0203.png,data/TP-Dataset/GroundTruth/Part03/0688.png,0.555540280451,0.936839739267,0.697479468518,34,1,1,0,33,1,34
UPerNet (R50),204,Part05/0746,0204.png,data/TP-Dataset/GroundTruth/Part05/0746.png,1.000000000000,0.900668576886,0.947738693467,1,1,0,0,0,0,0
UPerNet (R50),205,Part02/0271,0205.png,data/TP-Dataset/GroundTruth/Part02/0271.png,0.634279605654,0.984148247377,0.771396959193,37,1,22,0,36,22,58
UPerNet (R50),206,Part02/0451,0206.png,data/TP-Dataset/GroundTruth/Part02/0451.png,0.356042948302,0.465466272507,0.403467130497,94,1,93,0,93,93,186
UPerNet (R50),207,Part02/0524,0207.png,data/TP-Dataset/GroundTruth/Part02/0524.png,0.696859021183,0.800884955752,0.745259423426,18,1,0,0,17,0,17
UPerNet (R50),208,Part02/0272,0208.png,data/TP-Dataset/GroundTruth/Part02/0272.png,0.751401214386,0.714208095626,0.732332725661,62,1,12,0,61,12,73
UPerNet (R50),209,Part02/0076,0209.png,data/TP-Dataset/GroundTruth/Part02/0076.png,0.788759889037,0.350216450216,0.485061329004,61,1,23,0,60,23,83
UPerNet (R50),210,Part02/0508,0210.png,data/TP-Dataset/GroundTruth/Part02/0508.png,0.636411058946,0.787234042553,0.703833350224,10,5,0,0,5,0,5
UPerNet (R50),211,Part04/0722,0211.png,data/TP-Dataset/GroundTruth/Part04/0722.png,0.801764400623,0.450384771162,0.576772295565,6,1,0,0,5,0,5
UPerNet (R50),212,Part03/0644,0212.png,data/TP-Dataset/GroundTruth/Part03/0644.png,0.864570737606,0.926229508197,0.894338641030,5,1,0,0,4,0,4
UPerNet (R50),213,Part02/0374,0213.png,data/TP-Dataset/GroundTruth/Part02/0374.png,0.264613493581,1.000000000000,0.418489119283,112,1,30,0,111,30,141
UPerNet (R50),214,Part02/0450,0214.png,data/TP-Dataset/GroundTruth/Part02/0450.png,0.401957858294,0.358855185910,0.379185564876,125,1,27,0,124,27,151
UPerNet (R50),215,Part09/1236,0215.png,data/TP-Dataset/GroundTruth/Part09/1236.png,0.857875457875,0.922961854899,0.889229261082,3,1,0,0,2,0,2
UPerNet (R50),216,Part02/0259,0216.png,data/TP-Dataset/GroundTruth/Part02/0259.png,0.501987987480,0.917568501036,0.648946863244,76,2,10,0,74,10,84
UPerNet (R50),217,Part02/0139,0217.png,data/TP-Dataset/GroundTruth/Part02/0139.png,0.899274778405,0.978993649243,0.937442469908,6,1,0,0,5,0,5
UPerNet (R50),218,Part02/0432,0218.png,data/TP-Dataset/GroundTruth/Part02/0432.png,0.603727910917,0.993964268469,0.751188469308,46,1,16,0,45,16,61
UPerNet (R50),219,Part03/0560,0219.png,data/TP-Dataset/GroundTruth/Part03/0560.png,0.728888888889,0.934489979061,0.818982825428,11,1,4,0,10,4,14
UPerNet (R50),220,Part03/0621,0220.png,data/TP-Dataset/GroundTruth/Part03/0621.png,0.694648556372,0.951389683175,0.802996496784,60,1,10,0,59,10,69
UPerNet (R50),221,Part02/0064,0221.png,data/TP-Dataset/GroundTruth/Part02/0064.png,0.956318252730,0.755139257294,0.843904626172,53,1,34,0,52,34,86
UPerNet (R50),222,Part02/0514,0222.png,data/TP-Dataset/GroundTruth/Part02/0514.png,0.463722397476,0.937926330150,0.620608342020,15,2,0,0,13,0,13
UPerNet (R50),223,Part02/0201,0223.png,data/TP-Dataset/GroundTruth/Part02/0201.png,0.486094105300,0.995390693591,0.653200827962,29,1,22,0,28,22,50
UPerNet (R50),224,Part02/0456,0224.png,data/TP-Dataset/GroundTruth/Part02/0456.png,0.806683299312,0.576835730507,0.672666931523,86,1,39,0,85,39,124
UPerNet (R50),225,Part08/1032,0225.png,data/TP-Dataset/GroundTruth/Part08/1032.png,0.879746835443,0.676086956522,0.764587276039,1,2,0,0,1,0,1
UPerNet (R50),226,Part07/0804,0226.png,data/TP-Dataset/GroundTruth/Part07/0804.png,0.875949367089,0.572778827977,0.692642351487,2,1,0,0,1,0,1
UPerNet (R50),227,Part02/0418,0227.png,data/TP-Dataset/GroundTruth/Part02/0418.png,0.614105890266,0.994585987261,0.759351273771,53,1,8,0,52,8,60
UPerNet (R50),228,Part03/0611,0228.png,data/TP-Dataset/GroundTruth/Part03/0611.png,0.743543543544,0.902064119455,0.815168726986,21,1,3,0,20,3,23
UPerNet (R50),229,Part02/0437,0229.png,data/TP-Dataset/GroundTruth/Part02/0437.png,0.767813953488,1.000000000000,0.868659229635,36,1,2,0,35,2,37
UPerNet (R50),230,Part02/0350,0230.png,data/TP-Dataset/GroundTruth/Part02/0350.png,0.542291594001,0.869346733668,0.667932311980,76,1,9,0,75,9,84
UPerNet (R50),231,Part03/0605,0231.png,data/TP-Dataset/GroundTruth/Part03/0605.png,0.966479305059,0.915999218597,0.940562430964,8,1,4,0,7,4,11
UPerNet (R50),232,Part02/0499,0232.png,data/TP-Dataset/GroundTruth/Part02/0499.png,0.743913275280,0.979745106964,0.845695874506,24,1,2,0,23,2,25
UPerNet (R50),233,Part02/0251,0233.png,data/TP-Dataset/GroundTruth/Part02/0251.png,0.453789111955,0.991454614508,0.622609599783,65,2,3,0,63,3,66
UPerNet (R50),234,Part08/1011,0234.png,data/TP-Dataset/GroundTruth/Part08/1011.png,0.981321839080,0.950450450450,0.965639469046,1,2,1,0,1,1,2
UPerNet (R50),235,Part02/0505,0235.png,data/TP-Dataset/GroundTruth/Part02/0505.png,0.720560552186,0.966248037677,0.825511826013,12,1,3,0,11,3,14
UPerNet (R50),236,Part08/1121,0236.png,data/TP-Dataset/GroundTruth/Part08/1121.png,0.992788461538,0.850746268657,0.916295272755,1,1,0,0,0,0,0
UPerNet (R50),237,Part08/1004,0237.png,data/TP-Dataset/GroundTruth/Part08/1004.png,0.647515527950,0.988114532685,0.782352340795,4,1,2,0,3,2,5
UPerNet (R50),238,Part02/0130,0238.png,data/TP-Dataset/GroundTruth/Part02/0130.png,0.268673689251,0.975674373796,0.421325899561,78,2,21,0,76,21,97
UPerNet (R50),239,Part08/1172,0239.png,data/TP-Dataset/GroundTruth/Part08/1172.png,0.993248945148,0.720312500000,0.835044033965,4,1,0,0,3,0,3
UPerNet (R50),240,Part08/0957,0240.png,data/TP-Dataset/GroundTruth/Part08/0957.png,0.998260869565,0.429493087558,0.600588274917,2,1,0,0,1,0,1
