model,idx,part_id,pred_file,gt_file,T_prec,T_sens,clDice,CC_pred,CC_gt,Holes_pred,Holes_gt,abs_dBeta0,abs_dBeta1,Betti_Error
SegFormer-B2 + Skeleton,34,Part09/1227,0034.png,data/TP-Dataset/GroundTruth/Part09/1227.png,0.989878542510,1.000000000000,0.994913530010,1,1,0,0,0,0,0
SegFormer-B2 + Skeleton,35,Part08/1164,0035.png,data/TP-Dataset/GroundTruth/Part08/1164.png,0.778485041375,0.922480620155,0.844387843906,15,1,1,0,14,1,15
SegFormer-B2 + Skeleton,36,Part03/0637,0036.png,data/TP-Dataset/GroundTruth/Part03/0637.png,0.975659229209,0.799074431161,0.878581796239,5,1,0,0,4,0,4
SegFormer-B2 + Skeleton,37,Part02/0436,0037.png,data/TP-Dataset/GroundTruth/Part02/0436.png,0.663626919081,0.999833831838,0.797754494717,53,1,36,0,52,36,88
SegFormer-B2 + Skeleton,38,Part08/1091,0038.png,data/TP-Dataset/GroundTruth/Part08/1091.png,0.393101482326,1.000000000000,0.564354409658,3,1,2,0,2,2,4
SegFormer-B2 + Skeleton,39,Part03/0636,0039.png,data/TP-Dataset/GroundTruth/Part03/0636.png,0.837299035370,0.944220430108,0.887551183835,3,2,0,0,1,0,1
SegFormer-B2 + Skeleton,40,Part03/0595,0040.png,data/TP-Dataset/GroundTruth/Part03/0595.png,0.965603255875,0.998702309888,0.981873919095,2,1,0,0,1,0,1
SegFormer-B2 + Skeleton,41,Part08/1215,0041.png,data/TP-Dataset/GroundTruth/Part08/1215.png,0.835906571655,0.995683142672,0.908825896689,14,1,1,0,13,1,14
SegFormer-B2 + Skeleton,42,Part02/0188,0042.png,data/TP-Dataset/GroundTruth/Part02/0188.png,0.421300223645,0.977536793184,0.588826953583,88,2,73,0,86,73,159
SegFormer-B2 + Skeleton,43,Part02/0146,0043.png,data/TP-Dataset/GroundTruth/Part02/0146.png,0.973844812554,0.899785254116,0.935351345733,2,2,0,0,0,0,0
SegFormer-B2 + Skeleton,44,Part02/0469,0044.png,data/TP-Dataset/GroundTruth/Part02/0469.png,0.655561164395,1.000000000000,0.791950401463,73,1,44,0,72,44,116
SegFormer-B2 + Skeleton,45,Part02/0104,0045.png,data/TP-Dataset/GroundTruth/Part02/0104.png,0.911059528707,0.487551178488,0.635184822494,138,1,89,0,137,89,226
SegFormer-B2 + Skeleton,46,Part08/1214,0046.png,data/TP-Dataset/GroundTruth/Part08/1214.png,0.957957957958,0.930747922438,0.944156936669,2,1,0,0,1,0,1
SegFormer-B2 + Skeleton,47,Part08/1274,0047.png,data/TP-Dataset/GroundTruth/Part08/1274.png,0.922067268253,0.963144963145,0.942158585975,6,2,0,0,4,0,4
SegFormer-B2 + Skeleton,48,Part08/1085,0048.png,data/TP-Dataset/GroundTruth/Part08/1085.png,0.856890459364,0.991258741259,0.919190028445,1,1,2,0,0,2,2
SegFormer-B2 + Skeleton,49,Part03/0607,0049.png,data/TP-Dataset/GroundTruth/Part03/0607.png,0.666700746345,0.998557414887,0.799562481388,31,1,23,0,30,23,53
SegFormer-B2 + Skeleton,50,Part08/1036,0050.png,data/TP-Dataset/GroundTruth/Part08/1036.png,0.864583333333,0.954356846473,0.907254710928,1,2,0,0,1,0,1
SegFormer-B2 + Skeleton,51,Part03/0658,0051.png,data/TP-Dataset/GroundTruth/Part03/0658.png,0.994475138122,0.582439678284,0.734626592994,10,3,3,0,7,3,10
SegFormer-B2 + Skeleton,52,Part07/0781,0052.png,data/TP-Dataset/GroundTruth/Part07/0781.png,0.881720430108,0.700941915228,0.781006522075,10,3,0,0,7,0,7
SegFormer-B2 + Skeleton,53,Part08/1117,0053.png,data/TP-Dataset/GroundTruth/Part08/1117.png,0.933628318584,0.970457902511,0.951686924405,2,2,0,0,0,0,0
SegFormer-B2 + Skeleton,54,Part02/0422,0054.png,data/TP-Dataset/GroundTruth/Part02/0422.png,0.120617164899,0.999689922481,0.215261985907,178,1,113,0,177,113,290
SegFormer-B2 + Skeleton,55,Part07/0881,0055.png,data/TP-Dataset/GroundTruth/Part07/0881.png,0.923787528868,0.899014778325,0.911232816864,1,1,1,0,0,1,1
SegFormer-B2 + Skeleton,56,Part08/1285,0056.png,data/TP-Dataset/GroundTruth/Part08/1285.png,0.669926650367,0.659909909910,0.664880555544,3,2,0,0,1,0,1
SegFormer-B2 + Skeleton,57,Part07/0763,0057.png,data/TP-Dataset/GroundTruth/Part07/0763.png,0.983539094650,0.988625592417,0.986075784127,1,1,0,0,0,0,0
SegFormer-B2 + Skeleton,58,Part02/0292,0058.png,data/TP-Dataset/GroundTruth/Part02/0292.png,0.373843768379,0.434113567404,0.401730746798,232,1,137,0,231,137,368
SegFormer-B2 + Skeleton,59,Part07/0754,0059.png,data/TP-Dataset/GroundTruth/Part07/0754.png,0.540664375716,0.932849364791,0.684565614268,10,1,2,0,9,2,11
SegFormer-B2 + Skeleton,60,Part08/0925,0060.png,data/TP-Dataset/GroundTruth/Part08/0925.png,0.910447761194,0.995283018868,0.950977132513,1,1,1,0,0,1,1
SegFormer-B2 + Skeleton,61,Part08/1255,0061.png,data/TP-Dataset/GroundTruth/Part08/1255.png,0.911314984709,0.939306358382,0.925098981292,1,1,0,0,0,0,0
SegFormer-B2 + Skeleton,62,Part07/0748,0062.png,data/TP-Dataset/GroundTruth/Part07/0748.png,0.979262672811,1.000000000000,0.989522700814,1,1,0,0,0,0,0
SegFormer-B2 + Skeleton,63,Part08/1193,0063.png,data/TP-Dataset/GroundTruth/Part08/1193.png,0.763390974272,0.101696587098,0.179483003043,113,1,86,0,112,86,198
SegFormer-B2 + Skeleton,64,Part01/0005,0064.png,data/TP-Dataset/GroundTruth/Part01/0005.png,0.918953414167,0.712653778559,0.802761382574,5,4,0,0,1,0,1
SegFormer-B2 + Skeleton,65,Part07/0772,0065.png,data/TP-Dataset/GroundTruth/Part07/0772.png,0.991729506203,0.357142857143,0.525163268197,20,2,8,0,18,8,26
SegFormer-B2 + Skeleton,66,Part08/0901,0066.png,data/TP-Dataset/GroundTruth/Part08/0901.png,0.986065573770,0.997231833910,0.991617269985,1,1,0,0,0,0,0
SegFormer-B2 + Skeleton,67,Part03/0597,0067.png,data/TP-Dataset/GroundTruth/Part03/0597.png,0.975338401632,1.000000000000,0.987515253919,6,1,1,0,5,1,6
SegFormer-B2 + Skeleton,68,Part02/0242,0068.png,data/TP-Dataset/GroundTruth/Part02/0242.png,0.432758798638,0.758972943125,0.551218378356,35,3,37,0,32,37,69
SegFormer-B2 + Skeleton,69,Part03/0633,0069.png,data/TP-Dataset/GroundTruth/Part03/0633.png,0.993243243243,0.981741573034,0.987458917142,1,1,0,0,0,0,0
SegFormer-B2 + Skeleton,70,Part07/0768,0070.png,data/TP-Dataset/GroundTruth/Part07/0768.png,0.841101694915,0.841346153846,0.841223906620,5,1,0,0,4,0,4
SegFormer-B2 + Skeleton,71,Part02/0197,0071.png,data/TP-Dataset/GroundTruth/Part02/0197.png,0.549625187406,0.954474794581,0.697564515828,32,2,12,0,30,12,42
SegFormer-B2 + Skeleton,72,Part03/0697,0072.png,data/TP-Dataset/GroundTruth/Part03/0697.png,0.917667740990,0.931044866004,0.924307905635,6,1,1,0,5,1,6
SegFormer-B2 + Skeleton,73,Part08/1221,0073.png,data/TP-Dataset/GroundTruth/Part08/1221.png,0.886827458256,0.972273567468,0.927586919308,3,1,1,0,2,1,3
SegFormer-B2 + Skeleton,74,Part02/0039,0074.png,data/TP-Dataset/GroundTruth/Part02/0039.png,0.594115412217,0.594579008074,0.594347119743,93,3,109,0,90,109,199
SegFormer-B2 + Skeleton,75,Part08/1119,0075.png,data/TP-Dataset/GroundTruth/Part08/1119.png,0.914675767918,0.747096774194,0.822436643195,2,3,1,0,1,1,2
SegFormer-B2 + Skeleton,76,Part02/0467,0076.png,data/TP-Dataset/GroundTruth/Part02/0467.png,0.550886629128,1.000000000000,0.710415086160,85,1,54,0,84,54,138
SegFormer-B2 + Skeleton,77,Part07/0888,0077.png,data/TP-Dataset/GroundTruth/Part07/0888.png,0.647398843931,0.961977186312,0.773943325367,7,1,0,0,6,0,6
SegFormer-B2 + Skeleton,78,Part02/0498,0078.png,data/TP-Dataset/GroundTruth/Part02/0498.png,0.722964509395,0.931403551447,0.814053084750,20,2,7,0,18,7,25
SegFormer-B2 + Skeleton,79,Part02/0255,0079.png,data/TP-Dataset/GroundTruth/Part02/0255.png,0.699085473092,0.934267984371,0.799745055627,31,5,10,0,26,10,36
