model,idx,part_id,pred_file,gt_file,T_prec,T_sens,clDice,CC_pred,CC_gt,Holes_pred,Holes_gt,abs_dBeta0,abs_dBeta1,Betti_Error
DeepLabV3+ (R50),243,Part07/0839,0243.png,data/TP-Dataset/GroundTruth/Part07/0839.png,0.998680738786,0.994798439532,0.996735808771,1,1,0,0,0,0,0
DeepLabV3+ (R50),244,Part08/1020,0244.png,data/TP-Dataset/GroundTruth/Part08/1020.png,0.998831775701,0.996551724138,0.997690447253,1,1,0,0,0,0,0
DeepLabV3+ (R50),245,Part07/0860,0245.png,data/TP-Dataset/GroundTruth/Part07/0860.png,1.000000000000,0.620370370370,0.765714285714,1,2,0,0,1,0,1
DeepLabV3+ (R50),246,Part02/0123,0246.png,data/TP-Dataset/GroundTruth/Part02/0123.png,0.993506493506,0.979352678571,0.986378814427,3,1,3,0,2,3,5
DeepLabV3+ (R50),247,Part02/0504,0247.png,data/TP-Dataset/GroundTruth/Part02/0504.png,0.653958944282,0.802046035806,0.720471682465,11,3,7,0,8,7,15
DeepLabV3+ (R50),248,Part08/1116,0248.png,data/TP-Dataset/GroundTruth/Part08/1116.png,1.000000000000,0.907922912206,0.951739618406,1,1,0,0,0,0,0
DeepLabV3+ (R50),249,Part04/0721,0249.png,data/TP-Dataset/GroundTruth/Part04/0721.png,0.678644572705,0.803899268887,0.735980765662,11,4,10,0,7,10,17
DeepLabV3+ (R50),250,Part02/0519,0250.png,data/TP-Dataset/GroundTruth/Part02/0519.png,0.211015175301,0.996428571429,0.348275520486,56,1,45,0,55,45,100
DeepLabV3+ (R50),251,Part02/0328,0251.png,data/TP-Dataset/GroundTruth/Part02/0328.png,0.820909816441,0.677444589309,0.742308910794,60,1,27,0,59,27,86
DeepLabV3+ (R50),252,Part07/0767,0252.png,data/TP-Dataset/GroundTruth/Part07/0767.png,0.994708994709,1.000000000000,0.997347480106,1,1,0,0,0,0,0
DeepLabV3+ (R50),253,Part02/0269,0253.png,data/TP-Dataset/GroundTruth/Part02/0269.png,0.974654377880,0.849193967759,0.907609034846,45,1,78,0,44,78,122
DeepLabV3+ (R50),254,Part09/1231,0254.png,data/TP-Dataset/GroundTruth/Part09/1231.png,0.968949771689,0.472755782046,0.635464857427,11,1,12,0,10,12,22
DeepLabV3+ (R50),255,Part08/0962,0255.png,data/TP-Dataset/GroundTruth/Part08/0962.png,0.998175182482,0.703832752613,0.825552421689,3,3,0,0,0,0,0
DeepLabV3+ (R50),256,Part08/1165,0256.png,data/TP-Dataset/GroundTruth/Part08/1165.png,0.841954022989,0.555771725032,0.669565171017,9,7,0,0,2,0,2
DeepLabV3+ (R50),257,Part01/0020,0257.png,data/TP-Dataset/GroundTruth/Part01/0020.png,0.998059508409,0.918949133594,0.956871972751,1,1,0,0,0,0,0
DeepLabV3+ (R50),258,Part03/0635,0258.png,data/TP-Dataset/GroundTruth/Part03/0635.png,0.995834779590,0.875183123352,0.931618870534,2,1,0,0,1,0,1
DeepLabV3+ (R50),259,Part02/0315,0259.png,data/TP-Dataset/GroundTruth/Part02/0315.png,0.477304853149,0.998538486522,0.645877855544,46,1,15,0,45,15,60
DeepLabV3+ (R50),260,Part02/0452,0260.png,data/TP-Dataset/GroundTruth/Part02/0452.png,0.370672353236,0.864393338620,0.518849669391,117,1,89,0,116,89,205
DeepLabV3+ (R50),261,Part06/1295,0261.png,data/TP-Dataset/GroundTruth/Part06/1295.png,0.224647538956,0.884093711467,0.358261183864,399,2,266,0,397,266,663
DeepLabV3+ (R50),262,Part06/1296,0262.png,data/TP-Dataset/GroundTruth/Part06/1296.png,0.574405653033,0.727604285389,0.641992049930,239,1,154,0,238,154,392
DeepLabV3+ (R50),263,Part06/1392,0263.png,data/TP-Dataset/GroundTruth/Part06/1392.png,0.376045972376,0.353228053878,0.364280043465,103,1,68,0,102,68,170
DeepLabV3+ (R50),264,Part06/1480,0264.png,data/TP-Dataset/GroundTruth/Part06/1480.png,0.748594628357,0.998629902381,0.855721708901,68,1,18,0,67,18,85
DeepLabV3+ (R50),265,Part06/1531,0265.png,data/TP-Dataset/GroundTruth/Part06/1531.png,0.870243902439,0.505419281232,0.639456013489,56,1,31,0,55,31,86
DeepLabV3+ (R50),266,Part06/1530,0266.png,data/TP-Dataset/GroundTruth/Part06/1530.png,0.195563620204,0.791485664639,0.313633380406,323,1,272,0,322,272,594
DeepLabV3+ (R50),267,Part06/1644,0267.png,data/TP-Dataset/GroundTruth/Part06/1644.png,0.949482271729,0.970420527441,0.959837224390,9,1,15,1,8,14,22
DeepLabV3+ (R50),268,Part06/1666,0268.png,data/TP-Dataset/GroundTruth/Part06/1666.png,0.995894160584,0.984231274639,0.990028370567,1,1,0,0,0,0,0
DeepLabV3+ (R50),269,Part06/1669,0269.png,data/TP-Dataset/GroundTruth/Part06/1669.png,0.982567884680,0.999036918138,0.990733964689,1,1,0,0,0,0,0
DeepLabV3+ (R50),270,Part06/1661,0270.png,data/TP-Dataset/GroundTruth/Part06/1661.png,0.953993055556,0.944833264718,0.949391067076,3,1,0,0,2,0,2
DeepLabV3+ (R50),271,Part06/1626,0271.png,data/TP-Dataset/GroundTruth/Part06/1626.png,0.961928934010,0.846916299559,0.900766166294,2,1,0,0,1,0,1
DeepLabV3+ (R50),272,Part06/1670,0272.png,data/TP-Dataset/GroundTruth/Part06/1670.png,0.909406875708,0.889529298751,0.899358267306,85,1,64,0,84,64,148
DeepLabV3+ (R50),273,Part06/1622,0273.png,data/TP-Dataset/GroundTruth/Part06/1622.png,0.955685618729,0.881729200653,0.917219027286,1,1,0,0,0,0,0
DeepLabV3+ (R50),274,Part06/1627,0274.png,data/TP-Dataset/GroundTruth/Part06/1627.png,0.999353169470,0.957174638487,0.977809264778,1,1,0,0,0,0,0
DeepLabV3+ (R50),275,Part06/1663,0275.png,data/TP-Dataset/GroundTruth/Part06/1663.png,0.942609637250,0.981701285856,0.961758395524,1,2,0,0,1,0,1
DeepLabV3+ (R50),276,Part06/1624,0276.png,data/TP-Dataset/GroundTruth/Part06/1624.png,1.000000000000,0.894339622642,0.944223107569,2,1,0,0,1,0,1
DeepLabV3+ (R50),277,Part02/0038,0277.png,data/TP-Dataset/GroundTruth/Part02/0038.png,0.728725212465,0.754407213027,0.741343857296,156,5,109,0,151,109,260
DeepLabV3+ (R50),278,Part05/0731,0278.png,data/TP-Dataset/GroundTruth/Part05/0731.png,0.990151515152,0.789343246592,0.878417209637,4,1,0,0,3,0,3
DeepLabV3+ (R50),279,Part07/0823,0279.png,data/TP-Dataset/GroundTruth/Part07/0823.png,1.000000000000,0.746498599440,0.854851643945,6,1,2,0,5,2,7
DeepLabV3+ (R50),280,Part08/1017,0280.png,data/TP-Dataset/GroundTruth/Part08/1017.png,0.996350364963,0.360479041916,0.529415744018,3,1,0,0,2,0,2
