model,idx,part_id,pred_file,gt_file,T_prec,T_sens,clDice,CC_pred,CC_gt,Holes_pred,Holes_gt,abs_dBeta0,abs_dBeta1,Betti_Error
SegFormer-B2 + Skeleton + clDice-v2,211,Part04/0722,0211.png,data/TP-Dataset/GroundTruth/Part04/0722.png,0.994806693595,0.951802349129,0.972829496947,2,1,61,0,1,61,62
SegFormer-B2 + Skeleton + clDice-v2,212,Part03/0644,0212.png,data/TP-Dataset/GroundTruth/Part03/0644.png,0.998666073811,0.963430012610,0.980731651975,1,1,49,0,0,49,49
SegFormer-B2 + Skeleton + clDice-v2,213,Part02/0374,0213.png,data/TP-Dataset/GroundTruth/Part02/0374.png,0.363833477884,1.000000000000,0.533545310016,86,1,74,0,85,74,159
SegFormer-B2 + Skeleton + clDice-v2,214,Part02/0450,0214.png,data/TP-Dataset/GroundTruth/Part02/0450.png,0.585925349922,0.675636007828,0.627590979819,541,1,954,0,540,954,1494
SegFormer-B2 + Skeleton + clDice-v2,215,Part09/1236,0215.png,data/TP-Dataset/GroundTruth/Part09/1236.png,0.993954050786,0.959611069559,0.976480691463,1,1,10,0,0,10,10
SegFormer-B2 + Skeleton + clDice-v2,216,Part02/0259,0216.png,data/TP-Dataset/GroundTruth/Part02/0259.png,0.979215770302,0.998388210914,0.988709054286,3,2,11,0,1,11,12
SegFormer-B2 + Skeleton + clDice-v2,217,Part02/0139,0217.png,data/TP-Dataset/GroundTruth/Part02/0139.png,0.886459532029,0.978993649243,0.930431555055,7,1,22,0,6,22,28
SegFormer-B2 + Skeleton + clDice-v2,218,Part02/0432,0218.png,data/TP-Dataset/GroundTruth/Part02/0432.png,0.920055452865,0.997827136649,0.957364442547,5,1,7,0,4,7,11
SegFormer-B2 + Skeleton + clDice-v2,219,Part03/0560,0219.png,data/TP-Dataset/GroundTruth/Part03/0560.png,0.772691188145,0.996410409812,0.870405118989,6,1,2,0,5,2,7
SegFormer-B2 + Skeleton + clDice-v2,220,Part03/0621,0220.png,data/TP-Dataset/GroundTruth/Part03/0621.png,0.566614473415,0.999084982272,0.723122191900,100,1,163,0,99,163,262
SegFormer-B2 + Skeleton + clDice-v2,221,Part02/0064,0221.png,data/TP-Dataset/GroundTruth/Part02/0064.png,0.990563682660,0.651193633952,0.785802819510,50,1,129,0,49,129,178
SegFormer-B2 + Skeleton + clDice-v2,222,Part02/0514,0222.png,data/TP-Dataset/GroundTruth/Part02/0514.png,0.695670274771,0.990450204638,0.817292446681,6,2,29,0,4,29,33
SegFormer-B2 + Skeleton + clDice-v2,223,Part02/0201,0223.png,data/TP-Dataset/GroundTruth/Part02/0201.png,0.959745280873,0.998463564530,0.978721648031,3,1,5,0,2,5,7
SegFormer-B2 + Skeleton + clDice-v2,224,Part02/0456,0224.png,data/TP-Dataset/GroundTruth/Part02/0456.png,0.545705988107,1.000000000000,0.706092869285,5,1,57,0,4,57,61
SegFormer-B2 + Skeleton + clDice-v2,225,Part08/1032,0225.png,data/TP-Dataset/GroundTruth/Part08/1032.png,0.916223404255,0.984782608696,0.949266723033,2,2,25,0,0,25,25
SegFormer-B2 + Skeleton + clDice-v2,226,Part07/0804,0226.png,data/TP-Dataset/GroundTruth/Part07/0804.png,0.949532710280,0.663516068053,0.781166966399,1,1,9,0,0,9,9
SegFormer-B2 + Skeleton + clDice-v2,227,Part02/0418,0227.png,data/TP-Dataset/GroundTruth/Part02/0418.png,0.869570377403,0.999044585987,0.929821921262,3,1,40,0,2,40,42
